Title,Author,Price,Rating,URL
Foundational Python for Data Science,Not available,Not available,5.0 out of 5 stars,https://www.amazon.in/Foundational-Python-Science-Kennedy-Behrman/dp/8119847326/ref=sr_1_17?dib=eyJ2IjoiMSJ9.tAXReWF31_FjJXWpvos8tHjc_x8KR_a_dw_lT78uVrJvJ0ioweMai7PqQkVQvCi2CPf6-yAYYPiCD8zsMr7U7x36Kb1nrE40yGFw5Ot-zgnZSSFqz4PedILImcVDFarDuTKfWdbBDFTlAHrucgU-yaEFm0sOfMoZHSW_0mTecLacd9lHzLafMdVG64yJHuCStHZBgnpSE0iKtOecLmsneG57ojJhH9Ic3LYB7B0VL3w.4eKuSY7IzohKxcCPyuyqKorODiFDfKGrFewwZ65DRAk&dib_tag=se&keywords=data+science&qid=1721279261&s=books&sr=1-17
Data Science: The Hard Parts - Techniques for Excelling at Data Science (Grayscale Indian Edition),Not available,"1,075.25",5.0 out of 5 stars,https://www.amazon.in/Data-Science-Techniques-Excelling-Grayscale/dp/9355424892/ref=sr_1_18?dib=eyJ2IjoiMSJ9.tAXReWF31_FjJXWpvos8tHjc_x8KR_a_dw_lT78uVrJvJ0ioweMai7PqQkVQvCi2CPf6-yAYYPiCD8zsMr7U7x36Kb1nrE40yGFw5Ot-zgnZSSFqz4PedILImcVDFarDuTKfWdbBDFTlAHrucgU-yaEFm0sOfMoZHSW_0mTecLacd9lHzLafMdVG64yJHuCStHZBgnpSE0iKtOecLmsneG57ojJhH9Ic3LYB7B0VL3w.4eKuSY7IzohKxcCPyuyqKorODiFDfKGrFewwZ65DRAk&dib_tag=se&keywords=data+science&qid=1721279261&s=books&sr=1-18
"Introducing Data Science: Big Data, Machine Learning, and More, Using Python Tools",Not available,772.40,4.3 out of 5 stars,https://www.amazon.in/Introducing-Data-Science-Machine-Learning/dp/9351199371/ref=sr_1_19?dib=eyJ2IjoiMSJ9.tAXReWF31_FjJXWpvos8tHjc_x8KR_a_dw_lT78uVrJvJ0ioweMai7PqQkVQvCi2CPf6-yAYYPiCD8zsMr7U7x36Kb1nrE40yGFw5Ot-zgnZSSFqz4PedILImcVDFarDuTKfWdbBDFTlAHrucgU-yaEFm0sOfMoZHSW_0mTecLacd9lHzLafMdVG64yJHuCStHZBgnpSE0iKtOecLmsneG57ojJhH9Ic3LYB7B0VL3w.4eKuSY7IzohKxcCPyuyqKorODiFDfKGrFewwZ65DRAk&dib_tag=se&keywords=data+science&qid=1721279261&s=books&sr=1-19
"Python for Data Science for Dummies, 2ed",Not available,690.41,4.3 out of 5 stars,https://www.amazon.in/Python-Data-Science-Dummies-2ed/dp/8126524936/ref=sr_1_20?dib=eyJ2IjoiMSJ9.tAXReWF31_FjJXWpvos8tHjc_x8KR_a_dw_lT78uVrJvJ0ioweMai7PqQkVQvCi2CPf6-yAYYPiCD8zsMr7U7x36Kb1nrE40yGFw5Ot-zgnZSSFqz4PedILImcVDFarDuTKfWdbBDFTlAHrucgU-yaEFm0sOfMoZHSW_0mTecLacd9lHzLafMdVG64yJHuCStHZBgnpSE0iKtOecLmsneG57ojJhH9Ic3LYB7B0VL3w.4eKuSY7IzohKxcCPyuyqKorODiFDfKGrFewwZ65DRAk&dib_tag=se&keywords=data+science&qid=1721279261&s=books&sr=1-20
Probability & Statistics for Data Science by Dr. D.C. Agarwal & Dr. Pradeep K. Joshi | For students of B.Tech(Artificial Intelligence & Data Science) of RGPV & other Madhya Pradesh Universities,Not available,Not available,4.4 out of 5 stars,https://www.amazon.in/Probability-Statistics-Artificial-Intelligence-Universities/dp/B0BH597BDK/ref=sr_1_21?dib=eyJ2IjoiMSJ9.tAXReWF31_FjJXWpvos8tHjc_x8KR_a_dw_lT78uVrJvJ0ioweMai7PqQkVQvCi2CPf6-yAYYPiCD8zsMr7U7x36Kb1nrE40yGFw5Ot-zgnZSSFqz4PedILImcVDFarDuTKfWdbBDFTlAHrucgU-yaEFm0sOfMoZHSW_0mTecLacd9lHzLafMdVG64yJHuCStHZBgnpSE0iKtOecLmsneG57ojJhH9Ic3LYB7B0VL3w.4eKuSY7IzohKxcCPyuyqKorODiFDfKGrFewwZ65DRAk&dib_tag=se&keywords=data+science&qid=1721279261&s=books&sr=1-21
"Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud",Not available,829.04,4.6 out of 5 stars,https://www.amazon.in/Intro-Python-Computer-Science-Data/dp/9353949513/ref=sr_1_22?dib=eyJ2IjoiMSJ9.tAXReWF31_FjJXWpvos8tHjc_x8KR_a_dw_lT78uVrJvJ0ioweMai7PqQkVQvCi2CPf6-yAYYPiCD8zsMr7U7x36Kb1nrE40yGFw5Ot-zgnZSSFqz4PedILImcVDFarDuTKfWdbBDFTlAHrucgU-yaEFm0sOfMoZHSW_0mTecLacd9lHzLafMdVG64yJHuCStHZBgnpSE0iKtOecLmsneG57ojJhH9Ic3LYB7B0VL3w.4eKuSY7IzohKxcCPyuyqKorODiFDfKGrFewwZ65DRAk&dib_tag=se&keywords=data+science&qid=1721279261&s=books&sr=1-22
Machine Learning in Data Science Using Python,Not available,Not available,4.7 out of 5 stars,https://www.amazon.in/Machine-Learning-Science-Using-Python/dp/9391540465/ref=sr_1_23?dib=eyJ2IjoiMSJ9.tAXReWF31_FjJXWpvos8tHjc_x8KR_a_dw_lT78uVrJvJ0ioweMai7PqQkVQvCi2CPf6-yAYYPiCD8zsMr7U7x36Kb1nrE40yGFw5Ot-zgnZSSFqz4PedILImcVDFarDuTKfWdbBDFTlAHrucgU-yaEFm0sOfMoZHSW_0mTecLacd9lHzLafMdVG64yJHuCStHZBgnpSE0iKtOecLmsneG57ojJhH9Ic3LYB7B0VL3w.4eKuSY7IzohKxcCPyuyqKorODiFDfKGrFewwZ65DRAk&dib_tag=se&keywords=data+science&qid=1721279261&s=books&sr=1-23
DATA SCIENCE,Not available,922.32,4.5 out of 5 stars,https://www.amazon.in/DATA-SCIENCE-John-D-Kelleher/dp/0262535432/ref=sr_1_24?dib=eyJ2IjoiMSJ9.tAXReWF31_FjJXWpvos8tHjc_x8KR_a_dw_lT78uVrJvJ0ioweMai7PqQkVQvCi2CPf6-yAYYPiCD8zsMr7U7x36Kb1nrE40yGFw5Ot-zgnZSSFqz4PedILImcVDFarDuTKfWdbBDFTlAHrucgU-yaEFm0sOfMoZHSW_0mTecLacd9lHzLafMdVG64yJHuCStHZBgnpSE0iKtOecLmsneG57ojJhH9Ic3LYB7B0VL3w.4eKuSY7IzohKxcCPyuyqKorODiFDfKGrFewwZ65DRAk&dib_tag=se&keywords=data+science&qid=1721279261&s=books&sr=1-24
Data Science for Business: What You Need to Know About Data Mining and Data-Analytic Thinking,Not available,0.45,4.5 out of 5 stars,https://www.amazon.in/Data-Science-Business-Data-Analytic-Thinking/dp/B08VKWXCYJ/ref=sr_1_25?dib=eyJ2IjoiMSJ9.tAXReWF31_FjJXWpvos8tHjc_x8KR_a_dw_lT78uVrJvJ0ioweMai7PqQkVQvCi2CPf6-yAYYPiCD8zsMr7U7x36Kb1nrE40yGFw5Ot-zgnZSSFqz4PedILImcVDFarDuTKfWdbBDFTlAHrucgU-yaEFm0sOfMoZHSW_0mTecLacd9lHzLafMdVG64yJHuCStHZBgnpSE0iKtOecLmsneG57ojJhH9Ic3LYB7B0VL3w.4eKuSY7IzohKxcCPyuyqKorODiFDfKGrFewwZ65DRAk&dib_tag=se&keywords=data+science&qid=1721279261&s=books&sr=1-25
Data Science and Artificial Intelligence for Beginners,Not available,Not available,4.0 out of 5 stars,https://www.amazon.in/Data-Science-Artificial-Intelligence-Beginners/dp/9356685207/ref=sr_1_26?dib=eyJ2IjoiMSJ9.tAXReWF31_FjJXWpvos8tHjc_x8KR_a_dw_lT78uVrJvJ0ioweMai7PqQkVQvCi2CPf6-yAYYPiCD8zsMr7U7x36Kb1nrE40yGFw5Ot-zgnZSSFqz4PedILImcVDFarDuTKfWdbBDFTlAHrucgU-yaEFm0sOfMoZHSW_0mTecLacd9lHzLafMdVG64yJHuCStHZBgnpSE0iKtOecLmsneG57ojJhH9Ic3LYB7B0VL3w.4eKuSY7IzohKxcCPyuyqKorODiFDfKGrFewwZ65DRAk&dib_tag=se&keywords=data+science&qid=1721279261&s=books&sr=1-26
Data Science & Machine Learning Interview Questions using Python,Not available,390.36,4.2 out of 5 stars,https://www.amazon.in/Science-Machine-Learning-Interview-Questions/dp/9389845785/ref=sr_1_27?dib=eyJ2IjoiMSJ9.tAXReWF31_FjJXWpvos8tHjc_x8KR_a_dw_lT78uVrJvJ0ioweMai7PqQkVQvCi2CPf6-yAYYPiCD8zsMr7U7x36Kb1nrE40yGFw5Ot-zgnZSSFqz4PedILImcVDFarDuTKfWdbBDFTlAHrucgU-yaEFm0sOfMoZHSW_0mTecLacd9lHzLafMdVG64yJHuCStHZBgnpSE0iKtOecLmsneG57ojJhH9Ic3LYB7B0VL3w.4eKuSY7IzohKxcCPyuyqKorODiFDfKGrFewwZ65DRAk&dib_tag=se&keywords=data+science&qid=1721279261&s=books&sr=1-27
Question Bank on Data Science class 10th for 2024-25 board exam CBSE released on april 2024,Not available,Not available,Not available,https://www.amazon.in/Question-Science-class-2024-25-released/dp/8197245282/ref=sr_1_28?dib=eyJ2IjoiMSJ9.tAXReWF31_FjJXWpvos8tHjc_x8KR_a_dw_lT78uVrJvJ0ioweMai7PqQkVQvCi2CPf6-yAYYPiCD8zsMr7U7x36Kb1nrE40yGFw5Ot-zgnZSSFqz4PedILImcVDFarDuTKfWdbBDFTlAHrucgU-yaEFm0sOfMoZHSW_0mTecLacd9lHzLafMdVG64yJHuCStHZBgnpSE0iKtOecLmsneG57ojJhH9Ic3LYB7B0VL3w.4eKuSY7IzohKxcCPyuyqKorODiFDfKGrFewwZ65DRAk&dib_tag=se&keywords=data+science&qid=1721279261&s=books&sr=1-28
Touchpad Data Science for Class 10,Not available,Not available,4.0 out of 5 stars,https://www.amazon.in/Touchpad-Data-Science-Class-10/dp/9395141433/ref=sr_1_29?dib=eyJ2IjoiMSJ9.tAXReWF31_FjJXWpvos8tHjc_x8KR_a_dw_lT78uVrJvJ0ioweMai7PqQkVQvCi2CPf6-yAYYPiCD8zsMr7U7x36Kb1nrE40yGFw5Ot-zgnZSSFqz4PedILImcVDFarDuTKfWdbBDFTlAHrucgU-yaEFm0sOfMoZHSW_0mTecLacd9lHzLafMdVG64yJHuCStHZBgnpSE0iKtOecLmsneG57ojJhH9Ic3LYB7B0VL3w.4eKuSY7IzohKxcCPyuyqKorODiFDfKGrFewwZ65DRAk&dib_tag=se&keywords=data+science&qid=1721279261&s=books&sr=1-29
The Art of Statistics,Not available,384.06,4.5 out of 5 stars,https://www.amazon.in/Statistics-Pelican-Books-David-Spiegelhalter/dp/0241258766/ref=sr_1_30?dib=eyJ2IjoiMSJ9.tAXReWF31_FjJXWpvos8tHjc_x8KR_a_dw_lT78uVrJvJ0ioweMai7PqQkVQvCi2CPf6-yAYYPiCD8zsMr7U7x36Kb1nrE40yGFw5Ot-zgnZSSFqz4PedILImcVDFarDuTKfWdbBDFTlAHrucgU-yaEFm0sOfMoZHSW_0mTecLacd9lHzLafMdVG64yJHuCStHZBgnpSE0iKtOecLmsneG57ojJhH9Ic3LYB7B0VL3w.4eKuSY7IzohKxcCPyuyqKorODiFDfKGrFewwZ65DRAk&dib_tag=se&keywords=data+science&qid=1721279261&s=books&sr=1-30
Getting Started with Data Science: Making Sense of Data with Analytics,Not available,855.25,4.4 out of 5 stars,https://www.amazon.in/Getting-Started-Data-Science-Analytics/dp/9332570256/ref=sr_1_31?dib=eyJ2IjoiMSJ9.tAXReWF31_FjJXWpvos8tHjc_x8KR_a_dw_lT78uVrJvJ0ioweMai7PqQkVQvCi2CPf6-yAYYPiCD8zsMr7U7x36Kb1nrE40yGFw5Ot-zgnZSSFqz4PedILImcVDFarDuTKfWdbBDFTlAHrucgU-yaEFm0sOfMoZHSW_0mTecLacd9lHzLafMdVG64yJHuCStHZBgnpSE0iKtOecLmsneG57ojJhH9Ic3LYB7B0VL3w.4eKuSY7IzohKxcCPyuyqKorODiFDfKGrFewwZ65DRAk&dib_tag=se&keywords=data+science&qid=1721279261&s=books&sr=1-31
Python for Data Science,Not available,393.40,4.2 out of 5 stars,https://www.amazon.in/Python-Science-Mohd-Abdul-Hameed/dp/9354243479/ref=sr_1_32?dib=eyJ2IjoiMSJ9.tAXReWF31_FjJXWpvos8tHjc_x8KR_a_dw_lT78uVrJvJ0ioweMai7PqQkVQvCi2CPf6-yAYYPiCD8zsMr7U7x36Kb1nrE40yGFw5Ot-zgnZSSFqz4PedILImcVDFarDuTKfWdbBDFTlAHrucgU-yaEFm0sOfMoZHSW_0mTecLacd9lHzLafMdVG64yJHuCStHZBgnpSE0iKtOecLmsneG57ojJhH9Ic3LYB7B0VL3w.4eKuSY7IzohKxcCPyuyqKorODiFDfKGrFewwZ65DRAk&dib_tag=se&keywords=data+science&qid=1721279261&s=books&sr=1-32
