Username,RepoName,Stars,RepoUrl
public-apis,public-apis,302000,https://github.com/public-apis/public-apis
neovim,neovim,80100,https://github.com/neovim/neovim
tiangolo,fastapi,73500,https://github.com/tiangolo/fastapi
strapi,strapi,61800,https://github.com/strapi/strapi
hoppscotch,hoppscotch,61600,https://github.com/hoppscotch/hoppscotch
ocornut,imgui,58000,https://github.com/ocornut/imgui
slatedocs,slate,36000,https://github.com/slatedocs/slate
QuivrHQ,quivr,34200,https://github.com/QuivrHQ/quivr
Kong,insomnia,33700,https://github.com/Kong/insomnia
trpc,trpc,33600,https://github.com/trpc/trpc
httpie,cli,32900,https://github.com/httpie/cli
ccxt,ccxt,32000,https://github.com/ccxt/ccxt
hasura,graphql-engine,31000,https://github.com/hasura/graphql-engine
Binaryify,NeteaseCloudMusicApi,30300,https://github.com/Binaryify/NeteaseCloudMusicApi
encode,django-rest-framework,27900,https://github.com/encode/django-rest-framework
YMFE,yapi,27200,https://github.com/YMFE/yapi
directus,directus,26600,https://github.com/directus/directus
littlecodersh,ItChat,25300,https://github.com/littlecodersh/ItChat
PostgREST,postgrest,22700,https://github.com/PostgREST/postgrest
microsoft,api-guidelines,22600,https://github.com/microsoft/api-guidelines
