Username,RepoName,Stars,RepoUrl
amphp,amp,4200,https://github.com/amphp/amp
danog,MadelineProto,2800,https://github.com/danog/MadelineProto
unreal4u,telegram-api,785,https://github.com/unreal4u/telegram-api
amphp,parallel,761,https://github.com/amphp/parallel
amphp,http-client,701,https://github.com/amphp/http-client
amphp,byte-stream,363,https://github.com/amphp/byte-stream
amphp,mysql,351,https://github.com/amphp/mysql
php-service-bus,service-bus,350,https://github.com/php-service-bus/service-bus
amphp,parallel-functions,268,https://github.com/amphp/parallel-functions
amphp,process,227,https://github.com/amphp/process
amphp,socket,219,https://github.com/amphp/socket
xtrime-ru,TelegramRSS,218,https://github.com/xtrime-ru/TelegramRSS
amphp,sync,157,https://github.com/amphp/sync
amphp,dns,155,https://github.com/amphp/dns
amphp,redis,152,https://github.com/amphp/redis
amphp,websocket-client,141,https://github.com/amphp/websocket-client
kelunik,acme,121,https://github.com/kelunik/acme
amphp,websocket-server,114,https://github.com/amphp/websocket-server
amphp,serialization,107,https://github.com/amphp/serialization
amphp,cache,97,https://github.com/amphp/cache
