Username,RepoName,Stars,RepoUrl
jlevy,the-art-of-command-line,151000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,77700,https://github.com/nvm-sh/nvm
junegunn,fzf,62300,https://github.com/junegunn/fzf
starship,starship,43100,https://github.com/starship/starship
google,zx,42400,https://github.com/google/zx
LeCoupa,awesome-cheatsheets,38600,https://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,37700,https://github.com/acmesh-official/acme.sh
dylanaraps,pure-bash-bible,36300,https://github.com/dylanaraps/pure-bash-bible
koalaman,shellcheck,35600,https://github.com/koalaman/shellcheck
alebcay,awesome-shell,31900,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,30200,https://github.com/jaywcjlove/linux-command
mathiasbynens,dotfiles,30000,https://github.com/mathiasbynens/dotfiles
withfig,autocomplete,24400,https://github.com/withfig/autocomplete
kingToolbox,WindTerm,21700,https://github.com/kingToolbox/WindTerm
dylanaraps,neofetch,21600,https://github.com/dylanaraps/neofetch
asdf-vm,asdf,21200,https://github.com/asdf-vm/asdf
ajeetdsouza,zoxide,20500,https://github.com/ajeetdsouza/zoxide
warpdotdev,Warp,20300,https://github.com/warpdotdev/Warp
atuinsh,atuin,18900,https://github.com/atuinsh/atuin
Nyr,openvpn-install,18700,https://github.com/Nyr/openvpn-install
