Username,RepoName,Stars,RepoUrl
vercel,next.js,123000,https://github.com/vercel/next.js
rust-lang,rust,95100,https://github.com/rust-lang/rust
sveltejs,svelte,77600,https://github.com/sveltejs/svelte
webpack,webpack,64300,https://github.com/webpack/webpack
FuelLabs,sway,63000,https://github.com/FuelLabs/sway
gatsbyjs,gatsby,55100,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,48400,https://github.com/JetBrains/kotlin
parcel-bundler,parcel,43300,https://github.com/parcel-bundler/parcel
babel,babel,43100,https://github.com/babel/babel
evanw,esbuild,37700,https://github.com/evanw/esbuild
vlang,v,35600,https://github.com/vlang/v
markedjs,marked,32400,https://github.com/markedjs/marked
ziglang,zig,32299,https://github.com/ziglang/zig
carbon-language,carbon-lang,32299,https://github.com/carbon-language/carbon-lang
swc-project,swc,30600,https://github.com/swc-project/swc
typst,typst,30000,https://github.com/typst/typst
vercel,pkg,24300,https://github.com/vercel/pkg
v8,v8,23000,https://github.com/v8/v8
oracle,graal,20000,https://github.com/oracle/graal
crystal-lang,crystal,19200,https://github.com/crystal-lang/crystal
